page,section,inv_no,stock_item,stock_ref,unit,initial_stock,stock_in,stock_out,balance
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,19,TIE ROD END,C2-20,PC,1.0,1.0,1.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,20,S2-20 0 21 WIPER BLADE (PMT),B3-21,PC,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,20,AIR GOVERNONR,C2-21,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,21,S2-21 0 22 O-RING SMALL,B3-22,PC,20.0,0.0,0.0,20.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,21,HOST CLIP,C2-22,PC,6.0,0.0,0.0,6.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,22,S2-22 0 23 O-RING BIG,B3-23,PC,9.0,0.0,0.0,9.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,22,POWER WINDOW PART (A18-52044-001),C2-23,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,23,S2-23 0 24 O-RING (MH 035157),B3-24,PC,6.0,0.0,0.0,6.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,23,POWER WINDOW PART (A18-52044-000),C2-24,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,24,S2-24 0 25 BALL MIRROR,B3-25,PC,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,24,HOSE CLIP WITH EXTENSION,C2-25,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,25,S2-25 0 26 SIDE MIRROR,B3-26,PC,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,25,BEARING (TKHM 813841),C2-26,PC,2.0,1.0,1.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,26,S2-26 0 27 GASKET (JAPAN),B3-27,PC,9.0,0.0,0.0,9.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,26,TRIALER GLADHAND,C2-27,PC,2.0,20.0,0.0,22.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,27,S2-27 0 28 PLASTIC DASH CENTER (COLUMBIA),B3-29,PC,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,27,PNEUMATIC HOSE 1/8-BLACK,C2-28,FT,10.0,0.0,10.0,28.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,28,0 29 PEDAL CENSOR SOCKET,B3-30,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,28,PNEUMATIC HOSE 4MM-WHITE,C2-29,FT,1.0,0.0,1.0,29.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,29,0 30 39X80 WHEEL NUT DESIGN,B3-31,PC,23.0,0.0,0.0,23.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,29,FANBELT 5PK,C2-30,PC,0.0,2.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,30,S2-30 0 31 DOOR KNOB,B3-32,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,30,PNUEMATIC FITTINGS,C2-31,PCS,2.0,0.0,2.0,32.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,33,PC 0 100 42 58 31 FLEXIBLE HOSE,C2-32,FT,0.0,0.0,0.0,33.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,7,WAY ELECTRICAL CONNECTOR,B3-34,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,32,ELF SHOCK ABSORBER,C2-33,PCS,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,34,B3-35 PC 0 0 0 33 IH 9200i SHOCK ABSORBER,C2-34,PCS,4.0,0.0,0.0,4.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,35,B3-36 PC 0 0 0 34 0 B4 C3 INVTY. # Stock Item Stock Ref. UNIT INTL. STOCK STOCK IN STOCK OUT BALANCE INVTY. # Stock Item Stock Ref. UNIT INTL. STOCK STOCK IN STOCK OUT BALANCE 1 MOTOLITE GOLD (13 PLATES),B4-1,PC,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,1,DOUBLE BRAKE CHAMBER,C3-1,PC,5.0,0.0,2.0,3.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,2,MOTOLITE GOLD N70,B4-2,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,2,SINGLE BRAKE CHAMBER,C3-2,PC,6.0,0.0,0.0,6.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,3,PANASONIC BATTERY,B4-3,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,3,COWL AIR BAG,C3-3,PC,8.0,0.0,0.0,8.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,4,NEW PANASONIC 13PLATES BATTERY,B4-4,PC,4.0,0.0,0.0,4.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,4,AIR CLEANER JAPAN,C3-4,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,5,B4-5 0 5 WIND SHIELD RUBBER,C3-5,ROLL,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,6,B4-6 0 6 INTERSTATE MCBEE,C3-6,PC,5.0,0.0,0.0,5.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,7,B4-7 0 7 INTAKE SENSOR (DETROIT 12.7),C3-7,PC,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,8,B4-8 0 8 FUEL TEMP. SENSOR (DETROIT 12.7),C3-8,PC,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,9,B4-9 0 9 OIL PRESSURE SENSOR (detroit 12.7),C3-9,PC,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,10,B4-10 0 10 COOLANT TEMP. SENSOR (DETROIT 12.7),C3-10,PC,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,11,TURBO BOOST SENSOR (DETROIT 12.7),C3-11,PC,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,12,CRANKSHAFT SENSOR (DETROIT 12.7),C3-12,PC,8.0,0.0,0.0,8.0
