page,section,inv_no,stock_item,stock_ref,unit,initial_stock,stock_in,stock_out,balance
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,16,EXHAUST PIPE,SI-16,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,47,RESERVOIR,SI-47,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,17,FUEL FILTER,SI-17,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,48,CHAIN OR KADINA,SI-48,PC,3.0,0.0,0.0,3.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,18,AIR GOVERNOR,SI-18,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,49,WIND BREAKER,SI-49,PC,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,19,PROPERLLER YOKE PLANS,SI-19,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,50,REFRIGERATOR,SI-50,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,20,HOSE DUCK HOSE,SI-20,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,51,OXYGEN TANK,SI-51,PC,0.0,0.0,0.0,21.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,21,PC 1 0 0 1 52 ACETYLENE TANK,SI-52,PC,0.0,0.0,0.0,22.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,22,PC 40 0 0 40 53 10X20 WITH REAM,SI-53,PC,0.0,0.0,0.0,23.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,23,PC 1 0 0 1 54 10X20 TIRE SI-54 PC 0 0 0 HINO ORANGE PARTS 55 295/7OR 19.5,SI-55,PC,0.0,0.0,0.0,24.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,24,PC 1 0 0 0 56 8X20 TIRE,SI-56,PC,0.0,0.0,0.0,25.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,25,PC 2 0 0 0 57 11R 22.5,SI-57,PC,0.0,0.0,0.0,26.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,26,PC 18 0 0 0 58 295/75R 22.5 SI-58 PC 0 0 0 OLD ELF PARTS 59 295/7R WITH REAM,SI-59,PC,0.0,1.0,-1.0,27.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,27,PC 1 0 0 0 60 11R 22.5 BACK,SI-60,PC,0.0,0.0,0.0,28.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,28,PC 1 0 0 0 61 185/80R 15 (ELF),SI-61,PC,0.0,0.0,0.0,29.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,29,PC 1 0 0 0 62 YANTAS 11R 22.5,SI-62,PC,0.0,0.0,0.0,30.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,30,PC 2 0 0 0 63 YANTAS EXPOKE REAM,SI-63,PC,0.0,0.0,0.0,31.0
